MOIS,CLIENT_ID,homme,courriel,Langue_Francais,naissance,logement,profession,nb_enfant,ville,education,age,revenu,revenu_foyer
31Dec2018 0:00:00,00000000932096,1,1,1,0,0,3,0,6,4,55,66000,267000
31Jan2019 0:00:00,00000000824833,0,1,1,0,1,6,3,4,1,34,82000,131000
31Aug2018 0:00:00,00000000867612,1,1,1,0,1,2,0,5,5,67,84000,190000
31Mar2018 0:00:00,00000000841139,1,0,0,0,1,4,0,2,2,46,81000,81000
31Mar2019 0:00:00,00000000065176,0,0,0,1,0,3,3,4,1,73,77000,223000
31Oct2018 0:00:00,00000000068707,0,1,1,0,0,4,0,6,5,65,21000,94000
31Oct2018 0:00:00,00000000954946,0,1,1,0,1,5,0,6,4,27,58000,150000
31Dec2018 0:00:00,00000000832910,1,1,0,0,1,3,3,5,4,53,45000,64000
31Jul2018 0:00:00,00000000962702,1,0,1,0,0,3,2,6,4,71,60000,179000
31May2018 0:00:00,00000000833626,0,0,1,1,1,2,5,6,5,77,46000,186000
30Sep2018 0:00:00,00000000700951,1,1,1,0,0,2,0,6,2,44,48000,87000
31Jan2019 0:00:00,00000000958791,0,0,0,0,0,6,0,6,1,31,64000,64000
31Mar2019 0:00:00,00000000851896,1,1,1,1,0,1,3,1,2,41,67000,91000
30Nov2018 0:00:00,00000000930818,1,1,0,0,0,4,0,4,5,57,37000,89000
31Oct2018 0:00:00,00000000919731,0,0,0,0,0,1,0,6,2,31,28000,148000
30Apr2018 0:00:00,00000000605697,1,0,0,0,0,3,4,4,1,87,58000,212000
31Jan2019 0:00:00,00000000737129,1,1,1,0,0,4,0,1,4,999,81000,173000
31Jan2019 0:00:00,00000000986157,0,0,0,0,0,2,0,3,1,51,66000,138000
30Jun2018 0:00:00,00000000710086,0,1,0,0,0,5,0,3,1,57,42000,191000
31Aug2018 0:00:00,00000000773138,0,1,1,0,1,5,0,1,2,39,67000,102000
31Mar2018 0:00:00,00000000964044,0,1,0,0,0,1,0,3,5,56,58000,58000
31Mar2018 0:00:00,00000000303980,1,1,0,0,0,1,0,6,1,61,52000,139000
31Jul2018 0:00:00,00000000910130,0,1,0,0,0,6,0,4,1,40,69000,153000
31May2018 0:00:00,00000000060168,1,0,1,0,1,1,2,1,1,999,56000,56000
31Dec2018 0:00:00,00000000989326,1,1,1,0,1,2,0,4,4,22,76000,95000
31Oct2018 0:00:00,00000000830351,1,1,1,0,1,2,1,6,2,57,82000,82000
31Oct2018 0:00:00,00000000830255,0,1,0,0,1,1,0,6,1,39,53000,164000
30Apr2018 0:00:00,00000000854983,1,1,1,0,0,3,0,4,1,51,50000,135000
28Feb2019 0:00:00,00000000371926,0,1,1,0,0,1,0,6,2,52,91000,91000
31May2018 0:00:00,00000000910118,1,1,1,0,0,2,4,4,1,33,66000,78000
31Mar2019 0:00:00,00000000952978,1,1,1,0,1,4,0,1,4,45,48000,244000
30Sep2018 0:00:00,00000000978137,1,1,1,0,0,3,0,2,2,54,84000,84000
31Mar2019 0:00:00,00000000941100,1,1,0,0,0,3,1,5,4,63,29000,240000
31Jul2018 0:00:00,00000000971818,1,1,1,1,0,3,5,6,1,65,47000,253000
30Apr2018 0:00:00,00000000916899,0,0,1,0,0,2,1,3,5,64,95000,143000
30Apr2018 0:00:00,00000000378121,0,1,1,1,1,4,1,6,4,49,44000,228000
30Nov2018 0:00:00,00000000986569,0,1,1,0,1,1,1,4,1,63,88000,90000
31Aug2018 0:00:00,00000000710157,0,0,1,1,0,6,3,3,3,60,79000,115000
30Jun2018 0:00:00,00000000010278,0,0,1,1,1,2,2,5,5,24,33000,110000
31Mar2018 0:00:00,00000000806847,0,0,1,0,0,2,0,1,1,58,44000,205000
31Jul2018 0:00:00,00000000466417,0,1,1,0,0,1,0,6,1,57,14000,62000
31Jul2018 0:00:00,00000000911866,0,1,1,0,1,1,0,6,1,52,18000,170000
31May2018 0:00:00,00000000951404,0,1,0,1,0,6,1,1,3,37,44000,201000
31Jan2019 0:00:00,00000000004054,0,1,0,1,1,1,4,2,4,31,62000,62000
31Aug2018 0:00:00,00000000982679,1,1,1,0,0,4,0,4,2,33,41000,155000
31Mar2018 0:00:00,00000000984699,1,1,1,0,1,2,0,1,1,39,10000,129000
30Nov2018 0:00:00,00000000993641,1,1,0,0,1,1,2,1,4,43,44000,44000
31Jan2019 0:00:00,00000000529262,0,1,0,1,0,4,4,6,1,45,53000,222000
31Mar2019 0:00:00,00000000404879,0,0,1,0,0,6,3,3,4,64,62000,62000
31Aug2018 0:00:00,00000000912720,0,1,1,1,0,2,5,5,5,43,61000,124000
31Aug2018 0:00:00,00000000664231,0,1,1,0,0,3,0,5,5,23,56000,165000
30Jun2018 0:00:00,00000000994998,0,0,0,0,1,4,0,6,2,60,44000,85000
30Nov2018 0:00:00,00000000959302,0,0,1,0,0,1,4,6,5,40,67000,67000
31Jan2019 0:00:00,00000000978874,0,0,0,0,0,2,0,4,5,58,79000,84000
28Feb2019 0:00:00,00000000739462,0,1,0,0,1,1,0,5,3,26,59000,108000
31May2018 0:00:00,00000000812310,0,1,1,0,0,2,0,4,2,62,24000,102000
30Apr2018 0:00:00,00000000796591,0,1,1,0,0,5,0,3,4,45,61000,220000
31Jul2018 0:00:00,00000000015706,1,1,1,0,0,5,0,5,1,30,72000,169000
30Apr2018 0:00:00,00000000599000,1,1,1,1,0,5,1,5,2,62,81000,380000
31Mar2019 0:00:00,00000000057757,0,0,1,0,0,4,0,5,4,25,72000,133000
28Feb2019 0:00:00,00000000840105,1,1,0,1,1,5,3,4,1,56,57000,63000
30Apr2018 0:00:00,00000000614726,0,0,1,0,1,3,4,5,1,59,63000,98000
31May2018 0:00:00,00000000141557,0,1,1,0,0,1,0,5,4,43,91000,91000
31Jan2019 0:00:00,00000000899386,0,1,1,0,0,2,0,4,5,72,49000,128000
31Mar2018 0:00:00,00000000000889,1,1,0,0,1,3,0,4,5,40,28000,291000
31Oct2018 0:00:00,00000000932087,1,1,0,1,1,1,2,2,1,28,44000,112000
31Oct2018 0:00:00,00000000874457,0,1,0,0,0,3,0,3,1,29,61000,130000
30Jun2018 0:00:00,00000000859411,0,0,1,0,1,4,5,4,2,69,17000,97000
31Aug2018 0:00:00,00000000957224,1,1,1,0,0,1,0,6,4,50,57000,183000
30Apr2018 0:00:00,00000000590414,1,1,0,0,0,4,4,6,2,73,45000,195000
30Sep2018 0:00:00,00000000757072,1,0,0,0,0,2,0,1,3,60,65000,90000
31Mar2018 0:00:00,00000000864789,1,0,1,1,0,6,1,3,1,43,59000,99000
30Nov2018 0:00:00,00000000963692,0,0,1,0,0,4,0,6,1,31,1127000,127000
30Jun2018 0:00:00,00000000982278,1,1,1,1,1,4,1,6,1,64,65000,88000
30Jun2018 0:00:00,00000000976049,0,1,0,0,0,5,0,4,1,62,45000,82000
30Nov2018 0:00:00,00000000990546,0,1,0,0,0,4,0,1,1,38,39000,88000
31Mar2019 0:00:00,00000000014151,1,1,0,0,0,3,0,4,1,22,61000,90000
31Oct2018 0:00:00,00000000922571,0,1,0,0,0,2,1,5,1,56,72000,115000
31Dec2018 0:00:00,00000000929749,0,1,0,0,1,5,0,6,1,53,76000,240000
31Dec2018 0:00:00,00000000953863,1,1,0,0,0,2,0,4,2,41,71000,71000
28Feb2019 0:00:00,00000000744104,0,0,1,0,0,6,0,5,4,20,70000,70000
31May2018 0:00:00,00000000700809,0,0,1,0,1,1,0,6,5,62,70000,70000
30Jun2018 0:00:00,00000000834875,1,1,1,0,0,2,3,6,1,65,41000,187000
31Mar2018 0:00:00,00000000696877,0,1,0,0,0,6,2,3,5,44,56000,78000
30Nov2018 0:00:00,00000000882130,1,1,1,0,0,6,0,6,5,79,30000,130000
30Nov2018 0:00:00,00000000979753,0,1,1,0,0,2,0,6,5,49,65000,154000
31Jan2019 0:00:00,00000000908168,1,1,1,0,0,1,0,1,4,34,33000,50000
30Sep2018 0:00:00,00000000909226,1,1,0,0,1,2,3,1,1,50,72000,72000
28Feb2019 0:00:00,00000000584259,1,1,0,0,1,2,1,1,1,56,69000,171000
31Oct2018 0:00:00,00000000878904,0,1,1,0,1,5,0,3,1,53,48000,48000
31Mar2019 0:00:00,00000000826787,0,1,1,0,0,1,0,4,2,67,38000,108000
30Sep2018 0:00:00,00000000424293,0,1,0,0,0,1,0,1,4,60,61000,61000
31Oct2018 0:00:00,00000000980291,0,1,1,0,0,3,0,5,3,22,25000,143000
31Jul2018 0:00:00,00000000066393,0,1,1,0,1,1,0,4,3,21,83000,83000
30Sep2018 0:00:00,00000000871504,0,0,0,0,0,6,0,6,2,62,79000,280000
