MOIS,CLIENT_ID,pret_anterieur,compte_commercial,carte_MC,NSF,PH_autre_FI,sphere_epargne,sphere_financement,sphere_transaction,nb_produit,relation_BNC,vol_MC,vol_epargne,vol_financement,vol_transaction,TEF,mono_produit,PH
31Mar2018 0:00:00,00000000960987,0,0,0,0,0,0,0,1,1,5,,,,740,1,1,0
31Jul2018 0:00:00,00000000365622,0,0,0,0,0,0,0,1,1,0,,,,1860,1,1,0
31May2018 0:00:00,00000000814684,0,0,0,0,0,1,0,1,2,19,,88000,,3120,2,0,0
30Apr2018 0:00:00,00000000422103,1,0,1,0,0,0,0,1,4,16,21770,,,2860,1,0,0
31May2018 0:00:00,00000000968786,0,0,0,0,1,0,0,1,1,9,,,,1970,1,1,0
31Jul2018 0:00:00,00000000964995,0,0,0,0,1,0,1,0,1,16,,,538000,,1,1,0
30Apr2018 0:00:00,00000000141909,0,0,0,0,0,0,0,1,1,5,,,,2980,1,1,0
31Mar2018 0:00:00,00000000920544,0,0,1,0,1,1,0,1,2,5,17720,215000,,1450,2,0,0
31Dec2018 0:00:00,00000000905484,0,0,1,0,0,1,1,1,3,14,21440,97000,654000,2430,3,0,1
28Feb2019 0:00:00,00000000814496,0,0,1,0,0,1,0,1,3,14,12550,79000,,1550,2,0,0
31Jan2019 0:00:00,00000000058631,0,0,1,0,0,0,0,1,1,3,25340,,,2940,1,1,0
31Mar2019 0:00:00,00000000928923,0,1,0,0,0,1,0,1,2,14,,134000,,3750,2,0,1
31Aug2018 0:00:00,00000000623637,0,1,1,0,0,1,0,1,2,12,17680,117000,,2690,2,0,0
31May2018 0:00:00,00000000873271,0,0,0,0,0,1,1,1,4,12,,161000,574000,3640,3,0,0
31Jul2018 0:00:00,00000000921214,0,0,0,1,1,1,1,1,3,11,,127000,427000,2050,3,0,0
31Aug2018 0:00:00,00000000777803,0,0,1,0,1,0,0,1,1,17,20790,,,2250,1,1,0
31Jul2018 0:00:00,00000000305009,0,0,0,0,1,1,0,1,2,11,,250000,,1510,2,0,0
31Jan2019 0:00:00,00000000971758,0,0,1,0,1,1,1,1,3,15,21820,97000,450000,1840,3,0,0
31Oct2018 0:00:00,00000000657641,0,1,0,0,0,1,1,1,3,0,,168000,4960000,2030,3,0,0
31Dec2018 0:00:00,00000000803400,0,0,0,0,0,1,0,0,2,10,,215000,,,1,0,1
31Mar2018 0:00:00,00000000854433,0,0,1,0,0,0,0,1,1,15,16740,,,3350,1,1,0
31Jul2018 0:00:00,00000000684374,0,0,1,0,1,0,0,1,1,14,17440,,,580,1,1,0
30Sep2018 0:00:00,00000000916381,0,0,0,0,0,1,0,1,2,0,,158000,,3150,2,0,0
30Apr2018 0:00:00,00000000964500,0,1,0,0,0,1,0,1,2,9,,127000,,500,2,0,1
31Jan2019 0:00:00,00000000966780,0,0,0,0,0,0,1,1,2,7,,,174000,1320,2,0,1
30Sep2018 0:00:00,00000000911151,0,0,1,0,0,0,0,0,0,13,21130,,,,0,0,0
31Mar2018 0:00:00,00000000932924,0,0,1,0,0,0,1,1,2,15,24700,,558000,1830,2,0,0
31Dec2018 0:00:00,00000000869361,0,0,1,0,1,1,0,1,2,15,18320,153000,,2700,2,0,0
31Oct2018 0:00:00,00000000736923,0,0,0,0,0,0,0,1,2,3,,,,2060,1,0,0
30Nov2018 0:00:00,00000000916638,0,0,1,0,0,1,0,1,2,8,23500,190000,,1280,2,0,0
31Aug2018 0:00:00,00000000988647,0,0,0,0,1,1,1,1,3,7,,205000,346000,2900,3,0,0
30Apr2018 0:00:00,00000000930048,0,0,0,0,1,0,0,0,0,13,,,,,0,0,0
30Apr2018 0:00:00,00000000918060,0,0,1,0,0,0,1,1,2,16,20470,,416000,2290,2,0,1
